Gene	Transcripts
HCAR1	NM_032554.4
CWF19L1	NM_018294.6
ZNF879	NM_001136116.3
GRIFIN	NM_001291784.1
TSHB	NM_000549.5
KRTAP6-1	NM_181602.1
GSTT4	NM_001358664.2
NFKBIZ	NM_031419.4
PBX1	NM_002585.4
COPS7A	NM_001164093.2
MT4	NM_032935.3
FCER1G	NM_004106.2
RPL32	NM_000994.4
SULT2A1	NM_003167.4
TRAF3	NM_145725.3
CPHXL	NM_001355613.1
SNRPB	NM_003091.4
RABGGTA	NM_182836.2
HOXB6	NM_001369397.2
LIM2	NM_030657.4
CHCHD10	NM_213720.3
CCL8	NM_005623.3
DHRS2	NM_182908.4
PCGF5	NM_032373.5
MACO1	NM_018202.6
ARMT1	NM_024573.3
SLCO6A1	NM_173488.5
KRTCAP3	NM_173853.4
QARS1	NM_005051.3
HNRNPK	NM_001318186.1
NPIPA8	NM_001282511.2
CLDN7	NM_001307.6
ZC3HAV1L	NM_080660.4
PLS3	NM_001136025.5
CYP3A5	NM_000777.5
LCAT	NM_000229.2
MRPL38	NM_032478.4
CD300LD	NM_001115152.2
IGIP	NM_001007189.2
SPDYA	NM_182756.4
DOCK7	NM_033407.3
NUP54	NM_001278603.1
C1orf159	NM_017891.5
BMI1	NM_005180.9
ZNF668	NM_024706.5
CTSD	NM_001909.5
CCDC178	NM_198995.3
FAM167A	NM_053279.3
CBWD1	NM_018491.3
APEH	NM_001640.4
APOC3	NM_000040.3
TTC12	NM_017868.4
TOMM7	NM_019059.4
GPATCH2	NM_018040.5
TRIB2	NM_021643.3
ITPRID1	NM_194300.4
TACSTD2	NM_002353.3
F5	NM_000130.5
TMEM43	NM_024334.2
MX2	NM_002463.2
TGM6	NM_198994.3
OR5I1	NM_006637.1
IL31	NM_001014336.2
TSHZ1	NM_005786.6
NRXN1	NM_001135659.2
SERAC1	NM_032861.4
CPSF3	NM_016207.4
DDX20	NM_007204.5
FAT2	NM_001447.2
KIAA1586	NM_020931.4
NCR2	NM_001199509.2
SPINK5	NM_001127698.2
ASDURF	NM_001353493.1
RBP1	NM_002899.5
TRMT1L	NM_030934.5
RAP2C	NM_021183.5
SSX1	NM_005635.4
ALDH8A1	NM_001193480.2
SLC36A1	NM_078483.4
ATOH7	NM_145178.4
PHF14	NM_014660.4
TREM1	NM_018643.5
HEXB	NM_000521.4
CREBL2	NM_001310.4
OR1A2	NM_012352.2
M1AP	NM_138804.4
SMYD2	NM_020197.3
RANBP9	NM_005493.3
CERS4	NM_024552.3
TLX2	NM_016170.5
NXPH4	NM_007224.4
ABCB11	NM_003742.4
DDHD2	NM_015214.3
GPHB5	NM_145171.4
MOB2	NM_053005.5
OR2C1	NM_012368.3
ASPSCR1	NM_024083.4
NDNF	NM_024574.4
TTC16	NM_144965.3
EIF5B	NM_015904.4
FAM120B	NM_032448.2
FAM120A	NM_014612.5
SMIM9	NM_001162936.1
SLC39A4	NM_001280557.2
TSLP	NM_033035.5
GPR65	NM_003608.4
OR52K2	NM_001005172.2
DOK4	NM_001330556.2
LIMS2	NM_017980.4
SZT2	NM_015284.4
TIAM1	NM_003253.3
RMDN2	NM_144713.5
USP17L29	NM_001242332.1
ASIP	NM_001672.2
CHRM4	NM_000741.5
TAS2R31	NM_176885.2
PRR19	NM_199285.2
ADH1B	NM_000668.6
MOB3B	NM_024761.5
SMYD1	NM_001330364.2
TXNDC17	NM_032731.4
HAUS6	NM_017645.5
POM121	NM_001257190.3
BTN3A2	NM_001197246.2
PLXNA3	NM_017514.5
LIN28B	NM_001004317.4
MST1	NM_020998.3
PTPN13	NM_006264.3
SEMG1	NM_003007.5
HAPLN3	NM_178232.4
UBASH3B	NM_032873.5
PAK1IP1	NM_017906.3
CCDC80	NM_199511.2
LTBR	NM_001270987.2
LRRC49	NM_017691.4
HNRNPA0	NM_006805.4
NAGLU	NM_000263.4
PPP3R1	NM_000945.4
HNRNPM	NM_001297418.2
MYBL2	NM_002466.4
RNF19A	NM_015435.4
OR5B21	NM_001005218.1
GDPGP1	NM_001013657.3
TRPM4	NM_017636.4
HMMR	NM_012484.3
ZNF559	NM_032497.2
UAP1L1	NM_207309.3
CHERP	NM_006387.6
PRR20B	NM_001130404.1
VPS72	NM_005997.3
REG4	NM_032044.4
KIF4B	NM_001099293.3
VPS35L	NM_020314.7
CAPN1	NM_001198868.2
CPLANE2	NM_030907.4
ZCCHC2	NM_017742.6
HERPUD1	NM_001010989.3
TXNL4B	NM_017853.3
DNAAF1	NM_178452.6
C10orf90	NM_001004298.3
CD40LG	NM_000074.3
PDE4B	NM_002600.4
CYP27C1	NM_001001665.3
TPD52L2	NM_001243891.2
ZDHHC2	NM_016353.5
RMC1	NM_013326.5
SLC45A1	NM_001080397.2
EML2	NM_012155.4
MRPL32	NM_031903.3
TBC1D10B	NM_015527.4
FBXO32	NM_001242463.2
CNPY2	NM_014255.7
PCF11	NM_015885.4
NKAIN2	NM_001040214.3
C2CD4A	NM_207322.3
CDC20	NM_001255.3
ZNF37A	NM_003421.3
TYMP	NM_001953.5
CHRM5	NM_001320917.2
LURAP1L	NM_203403.2
LHX1	NM_005568.5
SLC35D1	NM_015139.3
GRHL3	NM_021180.3
VTI1B	NM_006370.3
ST3GAL4	NM_006278.3
RPLP2	NM_001004.4
TOR2A	NM_130459.4
FAM131C	NM_182623.3
HCLS1	NM_005335.6
H2AW	NM_033445.2
COL6A6	NM_001102608.2
PRDX6	NM_004905.3
H1-1	NM_005325.3
BEX4	NM_001080425.4
MMP15	NM_002428.4
B4GALT6	NM_004775.4
SLC16A11	NM_153357.3
PPIP5K2	NM_015216.5
TRIM69	NM_001301144.2
L2HGDH	NM_024884.3
TAGLN3	NM_013259.2
FEZ1	NM_005103.5
FOLR2	NM_000803.5
ADAP1	NM_006869.4
H2BC21	NM_003528.2
DHODH	NM_001361.5
NUDT9	NM_001248011.1
NUP62	NM_153719.4
BOLA1	NM_016074.5
CCDC120	NM_033626.3
NUBP1	NM_002484.4
HLA-B	NM_005514.8
CLDN23	NM_194284.3
OR10J1	NM_012351.3
TMEM33	NM_018126.3
QRICH2	NM_032134.2
TRPC6	NM_004621.6
GPNMB	NM_001005340.2
ARPP19	NM_006628.6
FBXW12	NM_207102.2
MECOM	NM_004991.4
NLRP9	NM_176820.4
WASF2	NM_006990.5
COQ10A	NM_144576.4
NKX2-5	NM_001166175.2
MS4A10	NM_206893.4
TPK1	NM_022445.4
TMEM120B	NM_001080825.2
STYXL1	NM_016086.2
TMEM132A	NM_017870.4
IL27RA	NM_004843.4
CNEP1R1	NM_153261.5
TUFM	NM_003321.5
PCK2	NM_001018073.3
KBTBD6	NM_152903.5
TPI1	NM_000365.6
RETREG3	NM_178126.4
DPP7	NM_013379.3
EDDM3B	NM_022360.5
WDR75	NM_032168.3
CPTP	NM_001029885.2
TOP2A	NM_001067.4
COQ6	NM_182476.3
GDF2	NM_016204.4
SWT1	NM_017673.7
OR5AC2	NM_054106.1
CCL4L2	NM_001291468.2
FBXL15	NM_024326.3
RPL29	NM_000992.3
DYNLRB2	NM_130897.3
GPD1	NM_001257199.2
FN3K	NM_022158.4
ARGLU1	NM_018011.4
LSM2	NM_021177.5
PLEKHB2	NM_017958.2
SPANXN3	NM_001009609.4
MMP2	NM_001127891.2
PDLIM2	NM_001368120.1
PRR16	NM_016644.2
USP48	NM_032236.8
FAM171A1	NM_001010924.2
CNKSR1	NM_006314.3
MRPL27	NM_016504.3
PAIP2B	NM_020459.1
SETD6	NM_024860.3
CIBAR2	NM_198491.3
PRR32	NM_001122716.2
SMNDC1	NM_005871.4
ALG9	NM_024740.2
ZNF283	NM_181845.2
FAM86B2	NM_001137610.2
APOBEC1	NM_001644.5
SIRT1	NM_012238.5
SH3D21	NM_024676.5
RRP1B	NM_015056.3
GMNC	NM_001146686.3
MAMLD1	NM_005491.4
RAB11A	NM_001206836.2
KIR3DL2	NM_001242867.2
NIPAL4	NM_001099287.1
INAFM2	NM_001301268.2
MTCH2	NM_014342.4
EFNA4	NM_005227.3
HDGF	NM_004494.3
BPIFA3	NM_178466.5
SEL1L3	NM_015187.5
CPT1B	NM_152246.3
FOXD2	NM_004474.4
MPP3	NM_001932.5
CCDC66	NM_001012506.5
ADGRE3	NM_032571.5
C21orf62	NM_019596.6
PDCD1	NM_005018.3
CYP4A11	NM_000778.4
C18orf54	NM_173529.6
IL20RB	NM_144717.4
ARHGEF19	NM_153213.5
KIF12	NM_138424.1
NOXO1	NM_001267721.2
LRP4	NM_002334.4
HTN1	NM_001368990.1
PRDM5	NM_001300823.1
FSCB	NM_032135.4
EXD3	NM_017820.5
GDF11	NM_005811.5
TTC21B	NM_024753.5
TMEM115	NM_007024.5
IRF2BP1	NM_015649.3
CYB5D1	NM_144607.6
YLPM1	NM_019589.3
IGHMBP2	NM_002180.2
OSGEPL1	NM_022353.3
MARCO	NM_006770.3
WNT8A	NM_058244.3
DMWD	NM_004943.2
BOD1	NM_138369.3
ATP13A5	NM_198505.4
CYS1	NM_001037160.2
ACP4	NM_033068.3
EDDM3A	NM_006683.5
MCAM	NM_006500.3
GMPR2	NM_016576.5
OR52N1	NM_001001913.1
MDGA1	NM_153487.4
PALMD	NM_017734.5
POF1B	NM_024921.4
MCEE	NM_032601.4
PLTP	NM_006227.4
EPB41L2	NM_001135554.1
FRK	NM_002031.3
SNAP47	NM_053052.3
ZC2HC1A	NM_016010.3
KATNAL1	NM_032116.5
CLPTM1	NM_001294.4
SERPINA7	NM_000354.6
HP1BP3	NM_016287.5
STK26	NM_016542.4
FASLG	NM_000639.3
VPS26B	NM_052875.5
BMP7	NM_001719.3
OR52N2	NM_001005174.1
FBXW5	NM_018998.4
ALKBH2	NM_001001655.2
FGD1	NM_004463.3
IFT20	NM_174887.4
SYT10	NM_198992.4
HCN4	NM_005477.3
ZEB2	NM_014795.4
LRRN3	NM_018334.5
ZNF280D	NM_001288588.1
FIBIN	NM_203371.2
AP5B1	NM_138368.5
UQCC3	NM_001085372.3
LHX5	NM_022363.3
ADCY9	NM_001116.4
BPY2C	NM_001002761.1
MRM1	NM_024864.5
KIF22	NM_001256269.2
LRRC8A	NM_019594.3
CHD3	NM_001005273.3
CRISP2	NM_003296.4
RHOQ	NM_012249.4
MEIS1	NM_002398.3
PUSL1	NM_153339.3
ACBD4	NM_024722.4
POTEE	NM_001083538.2
IL9R	NM_002186.3
WHRN	NM_015404.4
TAS2R46	NM_176887.2
ZNF250	NM_021061.5
C7orf33	NM_145304.4
VWA3B	NM_144992.5
HOXD4	NM_014621.3
CABS1	NM_033122.4
PBXIP1	NM_020524.4
APOC1	NM_001321065.2
KBTBD4	NM_016506.6
SFI1	NM_014775.4
HAUS4	NM_001166269.1
REL	NM_002908.4
ZNF845	NM_001321524.1
MS4A2	NM_000139.5
CPLX2	NM_001008220.2
DDX50	NM_024045.2
LIPC	NM_000236.3
SLC30A1	NM_021194.3
UBE2G1	NM_003342.4
HAUS2	NM_018097.3
RTN1	NM_001363702.1
NKX6-1	NM_006168.2
CNOT8	NM_004779.6
ZNF317	NM_020933.5
LRR1	NM_203467.1
CDK16	NM_006201.5
MCHR2	NM_032503.2
KRTAP22-2	NM_001164434.1
GANC	NM_198141.2
RNF11	NM_014372.5
ZNF213	NM_004220.3
MRPL11	NM_016050.5
MILR1	NM_001085423.2
UROC1	NM_144639.3
AGAP5	NM_001144000.1
NEURL2	NM_001278535.1
MAVS	NM_020746.5
FGGY	NM_001113411.2
RGPD5	NM_005054.3
ZNF594	NM_032530.2
SIMC1	NM_198567.5
WNT1	NM_005430.4
SLC25A25	NM_052901.4
VHLL	NM_001004319.2
ZNF695	NM_020394.5
FTO	NM_001080432.3
ENG	NM_000118.3
MS4A14	NM_001079692.3
FGF7	NM_002009.4
ARHGAP9	NM_032496.4
ZDHHC7	NM_017740.3
TECTA	NM_005422.2
DPY19L2	NM_173812.5
CCNO	NM_021147.5
CHD1L	NM_004284.6
ZNF615	NM_198480.3
TCTE1	NM_182539.4
MPPED1	NM_001044370.2
SELENOT	NM_016275.5
CA3	NM_005181.4
HBEGF	NM_001945.3
TCN1	NM_001062.4
SPECC1L	NM_015330.5
LEMD3	NM_001167614.2
UBR7	NM_175748.4
KIT	NM_000222.2
USP17L8	NM_001256872.1
DCTD	NM_001012732.1
OR51L1	NM_001004755.1
TRAPPC6A	NM_024108.3
CD99	NM_001122898.3
PRSS36	NM_173502.5
AGRN	NM_198576.4
DSPP	NM_014208.3
AKAP14	NM_178813.6
SLC39A8	NM_022154.5
CA6	NM_001215.4
PLP1	NM_000533.5
F2RL2	NM_004101.4
SGSM1	NM_001039948.4
SCAF11	NM_004719.3
HNRNPCL1	NM_001013631.2
ZNF614	NM_025040.4
RGS16	NM_002928.4
NBAS	NM_015909.4
MIEF2	NM_139162.4
DNAJC12	NM_021800.3
AQP10	NM_080429.3
SEMA3E	NM_012431.3
ADGRE5	NM_078481.4
GCOM1	NM_001018090.6
SIRPA	NM_080792.3
IFIH1	NM_022168.4
CLIP2	NM_003388.5
NPC1	NM_000271.5
NRBP2	NM_178564.4
BCORL1	NM_021946.4
EOLA2	NM_001013845.2
ST3GAL3	NM_174963.5
TUT4	NM_001009881.3
KRTAP5-8	NM_021046.3
NR3C1	NM_000176.3
TAF1A	NM_005681.4
CYP2C19	NM_000769.4
OR51G2	NM_001005238.1
ZNF696	NM_030895.3
PLAAT5	NM_054108.4
INTS11	NM_017871.6
S100A2	NM_005978.4
WDR54	NM_032118.4
ADAM29	NM_001130703.1
METTL21C	NM_001010977.2
SCGN	NM_006998.4
WNT7A	NM_004625.4
HNRNPC	NM_001077442.1
CMTM3	NM_144601.4
LRRC19	NM_022901.3
MN1	NM_002430.3
SOX2	NM_003106.4
ETV6	NM_001987.5
ANKRD60	NM_001304369.1
BAZ1A	NM_013448.3
SENP7	NM_020654.5
SPRING1	NM_024738.4
GYS2	NM_021957.4
ZNF253	NM_021047.3
TNFAIP8L1	NM_152362.3
RCL1	NM_005772.5
NIBAN1	NM_052966.4
TMEM170B	NM_001100829.3
EPN2	NM_014964.4
TOPBP1	NM_007027.4
SLC22A14	NM_004803.4
SGSM3	NM_015705.6
TMEM211	NM_001001663.3
TMOD4	NM_013353.3
TRMT2B	NM_024917.6
MARCHF4	NM_020814.3
TMEM191C	NM_001207052.1
INSC	NM_001031853.4
MROH6	NM_001100878.2
SH2D7	NM_001101404.1
LEPROTL1	NM_001128208.2
SLC5A11	NM_052944.4
TMPRSS7	NM_001042575.2
NDC1	NM_018087.5
KRTAP10-1	NM_198691.3
CCL17	NM_002987.3
AQP7	NM_001170.3
C18orf12	NM_001350280.1
SCO2	NM_005138.2
CCL28	NM_148672.3
BAD	NM_032989.3
OR8G5	NM_001005198.1
EDARADD	NM_145861.3
MT1B	NM_005947.3
YIPF5	NM_030799.9
PDCD5	NM_004708.4
MAPK8IP1	NM_005456.4
LBH	NM_030915.4
EMC10	NM_175063.6
KRT74	NM_175053.4
PHKB	NM_000293.3
CELA3A	NM_005747.5
LONRF2	NM_198461.4
PRR9	NM_001195571.2
TRNAU1AP	NM_017846.5
TMEM150A	NM_153342.3
ZNF18	NM_001303282.1
ALDH1A3	NM_000693.4
SLC22A16	NM_033125.4
ACTL7B	NM_006686.4
FKBP14	NM_017946.4
TIGAR	NM_020375.3
NUDT8	NM_181843.3
CYB5D2	NM_144611.4
JAKMIP2	NM_014790.5
LARP1	NM_033551.3
CA11	NM_001217.5
CCDC103	NM_213607.3
PRRG4	NM_024081.6
DYRK2	NM_003583.4
USP21	NM_001014443.3
EPCAM	NM_002354.3
RBPJL	NM_014276.4
L3MBTL4	NM_173464.3
DDX43	NM_018665.3
QPCTL	NM_017659.4
SFMBT2	NM_001029880.2
ZNF41	NM_153380.3
MICAL1	NM_022765.4
PCDHGC5	NM_018929.3
GOLGA6L9	NM_198181.3
ADI1	NM_018269.4
KCNS2	NM_020697.4
UPP2	NM_173355.3
BARHL1	NM_020064.4
CYP21A2	NM_000500.9
TRIM72	NM_001008274.4
ADGRG7	NM_001308362.1
EPS15	NM_001981.3
PCDH15	NM_033056.4
GADD45GIP1	NM_052850.4
NCOA1	NM_147223.3
COQ7	NM_016138.5
SPDEF	NM_012391.3
C7orf31	NM_138811.4
ZNF396	NM_145756.3
PXYLP1	NM_152282.4
CYREN	NM_024033.3
LYPD3	NM_014400.3
TNS4	NM_032865.6
MCM9	NM_153255.4
MLX	NM_170607.2
NAA10	NM_003491.4
POLR2J	NM_006234.5
POLE4	NM_019896.4
MAP3K15	NM_001001671.3
SPATA2	NM_006038.4
IRX2	NM_001134222.2
TIMM22	NM_013337.4
RBM38	NM_183425.3
ERVFRD-1	NM_207582.3
IGSF11	NM_001015887.3
GAK	NM_005255.4
HASPIN	NM_031965.2
PDX1	NM_000209.4
CD247	NM_198053.2
MITF	NM_198159.3
SRR	NM_021947.3
IRF5	NM_001098627.3
LGI1	NM_005097.4
OR51A2	NM_001004748.1
TPR	NM_003292.3
CALB2	NM_001740.5
GIMAP4	NM_018326.3
FOXO4	NM_005938.4
CAPSL	NM_144647.3
PAIP2	NM_016480.5
PIGC	NM_153747.2
ROM1	NM_000327.3
CCDC90B	NM_021825.4
TIMM10B	NM_012192.4
RSAD2	NM_080657.5
PAGE1	NM_003785.4
FDX1	NM_004109.5
C19orf71	NM_001135580.1
PCDHA12	NM_018903.4
TACO1	NM_016360.4
LCE6A	NM_001128600.2
PRKAB2	NM_005399.5
YEATS4	NM_006530.4
CNOT10	NM_015442.3
SEC14L6	NM_001193336.3
SEMA3D	NM_152754.2
SLC35F1	NM_001029858.4
C1D	NM_006333.4
CALHM4	NM_153036.5
PPDPF	NM_001353423.2
EYA4	NM_004100.5
AVIL	NM_006576.3
DUSP19	NM_001142314.2
RIIAD1	NM_001144956.3
TLR6	NM_006068.4
SAMM50	NM_015380.5
RANBP17	NM_022897.5
CIBAR1	NM_145269.5
AGA	NM_000027.4
QTRT2	NM_024638.4
KIAA0895L	NM_001040715.2
GPBP1	NM_022913.4
MELK	NM_014791.4
P2RY4	NM_002565.3
IFTAP	NM_138787.3
POLRMT	NM_005035.4
PAXIP1	NM_007349.4
S100A14	NM_020672.3
DUSP1	NM_004417.4
SMCO3	NM_001013698.2
PPARGC1A	NM_013261.5
LEO1	NM_138792.4
PODNL1	NM_024825.4
TMEM271	NM_001362796.2
KCTD8	NM_198353.3
EIF4EBP2	NM_004096.5
STK35	NM_080836.4
NPTN	NM_012428.4
PCSK1	NM_000439.5
CTSS	NM_004079.5
GXYLT2	NM_001080393.2
MGAT4A	NM_012214.3
POLR3D	NM_001722.3
RPS6KA3	NM_004586.3
SDR16C5	NM_138969.3
SNX18	NM_001102575.2
TNFRSF10D	NM_003840.5
JADE1	NM_024900.5
MS4A5	NM_023945.3
DLL4	NM_019074.4
BHMT	NM_001713.3
MTHFD1	NM_001364837.1
IQSEC1	NM_014869.7
TNFRSF10C	NM_003841.4
BTF3	NM_001207.4
CDKL5	NM_003159.2
DPCD	NM_001329742.2
INCENP	NM_020238.3
KRTAP1-3	NM_030966.2
OR51T1	NM_001004759.2
PGAM5	NM_138575.4
UBQLN3	NM_017481.4
RNASE4	NM_001282192.2
LRP12	NM_013437.4
AJM1	NM_001080482.4
GRXCR2	NM_001080516.1
MCM4	NM_005914.4
PRAMEF10	NM_001039361.4
PRM3	NM_021247.3
NAA40	NM_024771.4
DCAF12L1	NM_178470.5
RAVER1	NM_133452.3
TMEM69	NM_016486.4
TMEM89	NM_001008269.3
NDST2	NM_003635.4
ERMAP	NM_018538.3
MINDY3	NM_024948.4
TMEM190	NM_139172.3
EP400	NM_015409.5
PNLIP	NM_000936.4
SPDL1	NM_017785.5
ZSCAN5A	NM_024303.2
EIF2AK3	NM_004836.7
TRIM4	NM_033017.4
TXNDC12	NM_015913.4
FOXC2	NM_005251.3
TCEAL7	NM_152278.5
PPP3CC	NM_005605.4
TFAP2C	NM_003222.4
GLCE	NM_015554.3
TIMP1	NM_003254.3
SGO2	NM_152524.6
RANBP3L	NM_145000.5
CD19	NM_001178098.2
PPP1R13B	NM_015316.3
VAX2	NM_012476.3
MRGPRX2	NM_054030.4
LGI3	NM_139278.4
SLC17A9	NM_022082.4
MYORG	NM_020702.5
AFM	NM_001133.2
ZFR2	NM_015174.2
TRUB1	NM_139169.5
WFDC11	NM_147197.2
MRPL45	NM_032351.6
INMT	NM_006774.5
ADGRF3	NM_153835.4
IPMK	NM_152230.5
RADX	NM_018015.6
ZAR1L	NM_001136571.2
SYT1	NM_005639.3
ASH2L	NM_004674.5
LRRK2	NM_198578.4
LYN	NM_002350.4
CDKL1	NM_001282236.2
TRIL	NM_014817.4
GDF10	NM_004962.5
ERFE	NM_001291832.2
HSPB1	NM_001540.5
UCK2	NM_012474.5
ZNF343	NM_024325.6
ANKRD30A	NM_052997.2
CPSF6	NM_007007.3
PPBP	NM_002704.3
COL4A3	NM_000091.5
CLK4	NM_020666.3
HNRNPD	NM_031370.3
RPS19BP1	NM_194326.4
GABPA	NM_002040.4
CYP3A43	NM_001278921.2
KCNA1	NM_000217.3
RND3	NM_005168.4
OR10V1	NM_001005324.1
SPTLC2	NM_004863.3
SEPHS1	NM_012247.5
ANKRD1	NM_014391.2
FBXO16	NM_172366.4
SLC43A1	NM_003627.6
SPANXD	NM_032417.4
ADAMTS5	NM_007038.5
INPP5B	NM_005540.3
TMPO	NM_003276.2
C20orf194	NM_001009984.2
RECQL5	NM_004259.7
GOPC	NM_020399.4
HEXIM1	NM_006460.3
SPATA31A7	NM_015667.2
NIPSNAP1	NM_001202502.1
FTMT	NM_177478.2
CYP1A1	NM_000499.5
ITIH1	NM_002215.4
CMTM8	NM_178868.5
FGF18	NM_003862.3
ZNF627	NM_145295.4
TG	NM_003235.5
LYPD1	NM_144586.7
FNBP4	NM_001318339.3
PPP1R3D	NM_006242.4
MAGEB17	NM_001277307.2
NKX6-3	NM_152568.3
NETO2	NM_018092.5
C9orf24	NM_147169.3
ZNF775	NM_173680.4
DAZAP2	NM_014764.4
ADGRF2	NM_153839.7
FOXI2	NM_207426.3
DAB2	NM_001343.4
CDHR1	NM_033100.4
PROM2	NM_144707.4
LRRCC1	NM_033402.5
CLCN1	NM_000083.3
OAF	NM_178507.4
GJB5	NM_005268.4
VEGFB	NM_003377.5
CFAP97D1	NM_001136483.3
NREP	NM_004772.4
RAB28	NM_001017979.3
BTBD18	NM_001145101.1
CDT1	NM_030928.4
ADAT1	NM_012091.5
SERPINB10	NM_005024.3
SPINK7	NM_032566.3
IK	NM_006083.4
CSRP3	NM_003476.5
CACNA1G	NM_018896.5
CHST2	NM_004267.5
EFCAB10	NM_001355531.1
KPNA1	NM_002264.4
SYCP1	NM_003176.4
KAT6B	NM_012330.4
DCAF10	NM_024345.5
SYNPR	NM_001130003.2
UFD1	NM_001035247.3
NGDN	NM_001042635.2
USP39	NM_006590.4
AGGF1	NM_018046.5
CRYZL2P-SEC16B	NM_001356505.1
AP2M1	NM_004068.4
APCS	NM_001639.4
MRPS18C	NM_001297767.1
TROAP	NM_005480.4
NAA30	NM_001011713.3
C1orf50	NM_024097.4
CAMLG	NM_001745.4
ANK2	NM_001148.6
MRPS17	NM_015969.3
RTL1	NM_001134888.2
PRKRA	NM_003690.5
GPI	NM_000175.5
TMPRSS15	NM_002772.3
P2RX6	NM_005446.4
MTMR7	NM_004686.5
ARCN1	NM_001142281.1
SNX22	NM_024798.3
OR4C6	NM_001004704.1
ODF2	NM_001242352.1
CR1L	NM_175710.2
LRRC2	NM_024512.5
PAPSS1	NM_005443.5
C4orf51	NM_001080531.2
TFAP2D	NM_172238.3
OR4F17	NM_001005240.2
SHISAL1	NM_001099294.2
SLC17A3	NM_001098486.2
TSPY4	NM_001164471.1
LCN6	NM_198946.3
ADAM20	NM_003814.5
VEZT	NM_017599.4
GLB1	NM_000404.4
ELOB	NM_007108.4
TMEM218	NM_001080546.3
WSCD2	NM_014653.4
RFC2	NM_181471.3
FZD8	NM_031866.2
SKA3	NM_145061.6
ATP11A	NM_015205.2
PRR5L	NM_024841.4
TEX49	NM_001351123.2
SLC1A4	NM_003038.5
IMPDH1	NM_000883.4
RETNLB	NM_032579.2
DHCR7	NM_001360.2
PROB1	NM_001161546.2
NKD1	NM_033119.5
GPRC6A	NM_001286354.1
TRPC5	NM_012471.2
TNFRSF10A	NM_003844.4
ALDH4A1	NM_001161504.1
IQCF5	NM_001145059.2
SVOP	NM_018711.5
GET3	NM_004317.4
PRSS56	NM_001195129.2
EVPLL	NM_001145127.2
CRIM1	NM_016441.3
DUPD1	NM_001003892.2
MYOF	NM_013451.4
HDAC10	NM_032019.6
TADA3	NM_001278270.1
GTF2IRD2B	NM_001003795.3
C1orf229	NM_207401.2
DHX33	NM_020162.4
ARAF	NM_001256196.1
ARL2	NM_001667.4
CBFA2T3	NM_005187.6
HVCN1	NM_032369.4
OR2T35	NM_001001827.1
SPRY3	NM_005840.2
ATP6V0A4	NM_020632.3
PNMA6E	NM_001351293.2
RAB18	NM_021252.5
C22orf24	NM_015372.2
RPL31	NM_001098577.2
TUBA4B	NM_001355221.1
TUBB	NM_178014.4
NHLRC2	NM_198514.4
FOXO3	NM_001455.4
HOGA1	NM_138413.4
ATL2	NM_022374.5
PTCHD3	NM_001034842.3
S100A4	NM_002961.3
ADAT3	NM_138422.4
TSPAN33	NM_178562.5
LYNX1	NM_177476.3
ALAS2	NM_000032.5
HEG1	NM_020733.2
CPVL	NM_019029.3
CBLN3	NM_001039771.3
SPOCK3	NM_001040159.2
ACSM3	NM_005622.4
FPGT	NM_001199328.2
TSPAN9	NM_006675.5
TNFRSF8	NM_001243.5
ABCB5	NM_178559.6
PSD	NM_001270965.1
SLC25A26	NM_173471.3
USP17L20	NM_001256861.1
MRPS27	NM_015084.3
HMGB2	NM_001130688.1
ZBTB45	NM_032792.4
LPA	NM_005577.4
PKNOX1	NM_001286258.1
EMP3	NM_001425.3
NDUFA1	NM_004541.4
ATN1	NM_001940.4
PDK4	NM_002612.4
PANK3	NM_024594.4
ATP5IF1	NM_016311.5
CES3	NM_024922.6
KLHL40	NM_152393.4
ARFGEF3	NM_020340.5
SLC12A9	NM_020246.4
SYN3	NM_001135774.2
ANAPC5	NM_001137559.1
TUBA3C	NM_006001.3
AKT1S1	NM_032375.5
KRTAP1-1	NM_030967.3
SGO1	NM_138484.5
MKRN2	NM_014160.5
NPIPB13	NM_001321892.1
ECEL1	NM_004826.4
PPP1R2B	NM_206858.3
ANP32B	NM_006401.3
INHA	NM_002191.4
TIMM21	NM_014177.3
OVOL3	NM_001302757.1
PHLDB3	NM_198850.3
PTCH2	NM_003738.5
NOP53	NM_015710.5
GPN3	NM_016301.4
RDX	NM_002906.3
IWS1	NM_017969.3
STK10	NM_005990.4
URM1	NM_030914.4
TBC1D1	NM_015173.4
TXNRD2	NM_006440.5
PCDHB6	NM_018939.3
XIRP1	NM_194293.4
TRPC4	NM_003306.3
VCAM1	NM_001078.4
FAM83A	NM_032899.6
RPN1	NM_002950.4
OR1S2	NM_001004459.1
GRAMD2A	NM_001012642.3
OR1F12	NM_001355425.1
GBA2	NM_020944.3
KLHL10	NM_152467.5
RGS13	NM_002927.5
FMOD	NM_002023.5
CFAP73	NM_001144872.2
REP15	NM_001029874.3
TMEM123	NM_052932.3
C17orf99	NM_001163075.2
PANX1	NM_015368.4
AATF	NM_012138.4
RHBDF1	NM_022450.5
TMEM74B	NM_018354.2
GSTA1	NM_001319059.2
PMPCB	NM_004279.3
ZNF585B	NM_152279.4
MOSPD3	NM_023948.5
ARF1	NM_001024227.1
GLRX3	NM_006541.5
TMEM179B	NM_199337.3
GNPTAB	NM_024312.5
RAP2B	NM_002886.4
ZNF274	NM_133502.3
AVPI1	NM_021732.3
DIP2B	NM_173602.3
